uid,name,sdn_type,program,title,remarks
1,"AL-QAEDA","ENTITY","SDGT,FTO","",""
36,"HAMAS","ENTITY","SDGT,FTO","",""
7872,"HEZBOLLAH","ENTITY","SDGT,FTO","",""
15004,"PALESTINIAN ISLAMIC JIHAD","ENTITY","SDGT,FTO","",""
20013,"ISLAMIC STATE OF IRAQ AND THE LEVANT","ENTITY","SDGT,FTO","",""
1213,"NORTH KOREAN STATE PETROLEUM TRADING","ENTITY","NPWMD","","Pyongyang"
1500,"DAQO NEW ENERGY CORP","ENTITY","UYGHUR","","Shanghai HQ; Xinjiang ops; cross-referenced UFLPA"
1815,"NATIONAL IRANIAN OIL COMPANY","ENTITY","IRAN","","Tehran"
1843,"IRGC-QODS FORCE","ENTITY","IRAN,SDGT","",""
2080,"BANK MELLI IRAN","ENTITY","IRAN","","Tehran"
2200,"ROSNEFT OIL COMPANY","ENTITY","RUSSIA-EO14024","","Moscow"
2350,"VTB BANK","ENTITY","RUSSIA-EO14024","","Moscow"
2470,"WAGNER GROUP","ENTITY","RUSSIA-EO14024,SDGT","","Various"
2585,"NORDSTREAM 2 AG","ENTITY","RUSSIA-EO14024","","Switzerland"
2700,"GAZPROM NEFT","ENTITY","RUSSIA-EO14024","","Moscow"
2890,"SBERBANK","ENTITY","RUSSIA-EO14024","","Moscow"
3005,"ALROSA","ENTITY","RUSSIA-EO14024","","Mirny, Russia"
3120,"AEROFLOT","ENTITY","RUSSIA-EO14024","","Moscow"
3260,"KAMAZ","ENTITY","RUSSIA-EO14024","","Naberezhnye Chelny"
3380,"URALVAGONZAVOD","ENTITY","RUSSIA-EO14024","","Nizhny Tagil"
3505,"PUTIN VLADIMIR VLADIMIROVICH","INDIVIDUAL","RUSSIA-EO14024","","President"
3601,"LUKASHENKO ALEXANDER GRIGORYEVICH","INDIVIDUAL","BELARUS","","President"
3725,"KIM JONG UN","INDIVIDUAL","DPRK","","Chairman"
3850,"MADURO MOROS NICOLAS","INDIVIDUAL","VENEZUELA-EO13692","","President"
4000,"GUZMAN LOERA JOAQUIN ARCHIVALDO","INDIVIDUAL","SDNTK,SDGT","","Sinaloa Cartel"
4135,"NATIONAL BANK OF CUBA","ENTITY","CUBA","","Havana"
4250,"CUBA PETROLEO SA","ENTITY","CUBA","","Havana"
4380,"CUBANACAN GROUP","ENTITY","CUBA","","Havana"
4500,"FARC-EP","ENTITY","SDNTK,SDGT","",""
4625,"SINALOA CARTEL","ENTITY","SDNTK","","Mexico"
4750,"JALISCO NEW GENERATION CARTEL","ENTITY","SDNTK","","Mexico"
4880,"LOS ZETAS","ENTITY","SDNTK","","Mexico"
5004,"MARA SALVATRUCHA MS-13","ENTITY","SDGT,TCO","","Multiple countries"
5130,"CAMORRA","ENTITY","TCO","","Italy"
5255,"YAKUZA","ENTITY","TCO","","Japan"
5380,"BROTHERS CIRCLE","ENTITY","TCO","","Russia/Eurasia"
5505,"BANCO DE VENEZUELA","ENTITY","VENEZUELA-EO13692","","Caracas"
5631,"PDVSA","ENTITY","VENEZUELA-EO13692","","Caracas"
5760,"CORPORACION VENEZOLANA DE GUAYANA","ENTITY","VENEZUELA-EO13692","","Puerto Ordaz"
5890,"REPUBLIC OF SOUTH SUDAN AIR FORCE","ENTITY","SOUTH SUDAN","",""
6010,"ZIMBABWE DEFENCE INDUSTRIES","ENTITY","ZIMBABWE","","Harare"
6135,"GENERAL INTELLIGENCE PRESIDENCY (Syria)","ENTITY","SYRIA","","Damascus"
6260,"SYRIAN ARAB REPUBLIC","ENTITY","SYRIA","","Damascus"
6385,"GADDAFI MUAMMAR","INDIVIDUAL","LIBYA2","","Former Libyan leader"
