entry_number,name,address,city,province,country,sector,added_date,sublist
UFLPA-001,Xinjiang Production and Construction Corps (XPCC),3 Guangming Road,Urumqi,Xinjiang,CN,Agriculture/Cotton,2022-06-21,List 1
UFLPA-002,Aksu Huafu Textiles Co. Ltd.,Aksu Industrial Park,Aksu,Xinjiang,CN,Textiles,2022-08-01,List 1
UFLPA-003,Baoding LYSZD Trade and Business Co. Ltd.,Lianchi District,Baoding,Hebei,CN,Hair products,2022-08-01,List 1
UFLPA-004,Changji Esquel Textile Co. Ltd.,Changji Economic Zone,Changji,Xinjiang,CN,Textiles,2022-08-01,List 1
UFLPA-005,Hetian Haolin Hair Accessories Co. Ltd.,Hetian Industrial Park,Hetian,Xinjiang,CN,Hair products,2022-06-21,List 1
UFLPA-006,Hetian Taida Apparel Co. Ltd.,Hetian Industrial Park,Hetian,Xinjiang,CN,Apparel,2022-06-21,List 1
UFLPA-007,Hoshine Silicon Industry Co. Ltd.,Shihezi Industrial Zone,Shihezi,Xinjiang,CN,Polysilicon,2021-06-24,List 1
UFLPA-008,Xinjiang Daqo New Energy Co. Ltd.,Shihezi Hightech Zone,Shihezi,Xinjiang,CN,Polysilicon,2022-06-21,List 1
UFLPA-009,Xinjiang East Hope Nonferrous Metals Co. Ltd.,Changji Industrial Zone,Changji,Xinjiang,CN,Aluminum/Polysilicon,2022-06-21,List 1
UFLPA-010,Xinjiang GCL New Energy Material Technology Co. Ltd.,Karamay Hightech Zone,Karamay,Xinjiang,CN,Polysilicon,2022-06-21,List 1
UFLPA-011,Xinjiang Junda Energy Technology Co. Ltd.,Karamay,Karamay,Xinjiang,CN,Polysilicon,2024-09-25,List 2
UFLPA-012,Xinjiang Production and Construction Corps Eighth Agricultural Division,Eighth Division Headquarters,Shihezi,Xinjiang,CN,Agriculture/Cotton,2022-06-21,List 1
UFLPA-013,Xinjiang TBEA Group Co. Ltd.,Changji Industrial Zone,Changji,Xinjiang,CN,Polysilicon,2022-08-01,List 1
UFLPA-014,Xinjiang Zhongtai Chemical Co. Ltd.,Urumqi Economic Zone,Urumqi,Xinjiang,CN,PVC/Chemicals,2022-08-01,List 1
UFLPA-015,Lop County Hair Product Industrial Park,Lop County Industrial Zone,Lop County,Xinjiang,CN,Hair products,2022-08-01,List 1
UFLPA-016,Xinjiang Yili Zhuowan Garment Manufacturing Co. Ltd.,Yili Hightech Zone,Yining,Xinjiang,CN,Garments,2024-05-16,List 1
UFLPA-017,Anhui Xinya New Materials Co. Ltd.,Bengbu Industrial Park,Bengbu,Anhui,CN,Cotton textiles,2024-05-16,List 2
UFLPA-018,COFCO Sugar Holding Co. Ltd.,Beijing HQ,Beijing,Beijing,CN,Sugar/Tomato,2024-05-16,List 2
UFLPA-019,Camel Group Co. Ltd.,Xiangyang Industrial Park,Xiangyang,Hubei,CN,Lead-acid batteries,2024-05-16,List 2
UFLPA-020,Dongguan Oasis Shoes Co. Ltd.,Houjie Town,Dongguan,Guangdong,CN,Footwear,2024-05-16,List 2
UFLPA-021,Xinjiang Habahe Ashele Copper Co. Ltd.,Habahe County,Habahe,Xinjiang,CN,Copper/Mining,2024-09-25,List 4
UFLPA-022,Xinjiang Tianhong Mining Co. Ltd.,Hami Industrial Zone,Hami,Xinjiang,CN,Coal/Mining,2024-09-25,List 4
UFLPA-023,Xinjiang Tengxiang Magnesium Co. Ltd.,Hami Industrial Zone,Hami,Xinjiang,CN,Magnesium,2024-09-25,List 4
UFLPA-024,Xinjiang Jinkun Mining Co. Ltd.,Aksu Industrial Zone,Aksu,Xinjiang,CN,Mining,2024-09-25,List 4
UFLPA-025,Tianshan Aluminum Group Co. Ltd.,Shihezi Hightech Zone,Shihezi,Xinjiang,CN,Aluminum,2024-09-25,List 4
UFLPA-026,Xinjiang Tianye Foil Co. Ltd.,Shihezi Industrial Zone,Shihezi,Xinjiang,CN,Aluminum foil,2024-09-25,List 4
